ID;Year_Birth;Age;AgeGroup;Education;Marital_Status;Income;IncomeGroup;Kidhome;Teenhome;Dt_Customer;Recency;DtGroup;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;DealPurchasesGroup;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;RecencyProp;AcceptedCmp2;ComplainNoYes;Complain;Z_CostContact;Z_Revenue;Response;WebVisitGroup;AcceptedCmp1Group;AcceptedCmp2Group;AcceptedCmp3Group;AcceptedCmp4Group;AcceptedCmp5Group
5524;1957;57;55-64 y.o.;Graduation;Single;58138.0;Middle Class;0;0;04/09/2012;58;Unknown;635;88;546;172;88;88;Yes;3;8;10;4;7;0;0;0;0;2 months;0;No;0;3;11;1;High Freq Visit;No;No;No;No;No
2174;1954;60;55-64 y.o.;Graduation;Single;46344.0;Middle Class;1;1;08/03/2014;38;Unknown;11;1;6;2;1;6;Yes;2;1;1;2;5;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4141;1965;49;45-54 y.o.;Graduation;Together;71613.0;Middle Class;0;0;21/08/2013;26;Unknown;426;49;127;111;21;42;Yes;1;8;2;10;4;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
6182;1984;30;25-34 y.o.;Graduation;Together;26646.0;Middle Class;1;0;10/02/2014;26;Unknown;11;4;20;10;3;5;Yes;2;2;0;4;6;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
5324;1981;33;25-34 y.o.;PhD;Married;58293.0;Middle Class;1;0;19/01/2014;94;Unknown;173;43;118;46;27;15;Yes;5;5;3;6;5;0;0;0;0;3 months+;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
7446;1967;47;45-54 y.o.;Master;Together;62513.0;Middle Class;0;1;09/09/2013;16;Unknown;520;42;98;0;42;14;Yes;2;6;4;10;6;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
965;1971;43;35-44 y.o.;Graduation;Divorced;55635.0;Middle Class;0;1;13/11/2012;34;Unknown;235;65;164;50;49;27;Yes;4;7;3;7;6;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
6177;1985;29;25-34 y.o.;PhD;Married;33454.0;Middle Class;1;0;08/05/2013;32;Unknown;76;10;56;3;1;23;Yes;2;4;0;4;8;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4855;1974;40;35-44 y.o.;PhD;Together;30351.0;Middle Class;1;0;06/06/2013;19;Unknown;14;0;24;3;3;2;Yes;1;3;0;2;9;0;0;0;0;1 month;0;No;0;3;11;1;High Freq Visit;No;No;No;No;No
2125;1959;55;55-64 y.o.;Graduation;Divorced;63033.0;Middle Class;0;0;15/11/2013;82;Unknown;194;61;480;225;112;30;Yes;1;3;4;8;2;0;0;0;0;3 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
